contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Expiration_date
IBIT250117C00044000,2024-11-21 19:20:04+00:00,44.0,14.0,13.9,14.2,0.0,0.0,17.0,17.0,0.7426783544921874,True,REGULAR,USD,2025-01-17
IBIT250117C00045000,2024-11-22 20:43:30+00:00,45.0,13.2,13.1,13.3,0.15999985,1.2269927,181.0,464.0,0.7251004052734374,True,REGULAR,USD,2025-01-17
IBIT250117C00046000,2024-11-22 20:59:38+00:00,46.0,12.34,12.3,12.5,0.44000053,3.6974835,3088.0,114.0,0.7138700488281251,True,REGULAR,USD,2025-01-17
IBIT250117C00047000,2024-11-22 20:09:46+00:00,47.0,11.69,11.5,11.8,0.0899992,0.7758551,529.0,118.0,0.708010732421875,True,REGULAR,USD,2025-01-17
IBIT250117C00048000,2024-11-22 20:20:05+00:00,48.0,11.0,10.8,11.0,-0.10000038,-0.9009043,632.0,165.0,0.6984893432617189,True,REGULAR,USD,2025-01-17
IBIT250117C00049000,2024-11-22 20:10:18+00:00,49.0,10.2,10.1,10.3,0.3000002,3.030305,558.0,188.0,0.69336244140625,True,REGULAR,USD,2025-01-17
IBIT250117C00050000,2024-11-22 20:59:29+00:00,50.0,9.57,9.5,9.6,0.13999939,1.484617,1335.0,3702.0,0.6916534741210938,True,REGULAR,USD,2025-01-17
IBIT250117C00051000,2024-11-22 20:42:14+00:00,51.0,8.9,8.8,9.0,0.0,0.0,1230.0,1699.0,0.6862824340820313,True,REGULAR,USD,2025-01-17
IBIT250117C00052000,2024-11-22 20:56:15+00:00,52.0,8.3,8.2,8.4,0.25,3.1055899,755.0,1877.0,0.6843293286132813,True,REGULAR,USD,2025-01-17
IBIT250117C00053000,2024-11-22 20:52:53+00:00,53.0,7.68,7.6,7.8,0.0,0.0,1408.0,13428.0,0.6787141503906251,True,REGULAR,USD,2025-01-17
IBIT250117C00054000,2024-11-22 20:16:57+00:00,54.0,7.2,7.0,7.3,0.099999905,1.4084494,288.0,2584.0,0.6762727685546877,True,REGULAR,USD,2025-01-17
IBIT250117C00055000,2024-11-22 20:59:24+00:00,55.0,6.7,6.6,6.7,0.0,0.0,12737.0,66687.0,0.6765169067382814,True,REGULAR,USD,2025-01-17
IBIT250117C00056000,2024-11-22 20:48:41+00:00,56.0,6.1,6.1,6.3,-0.119999886,-1.9292587,2548.0,3064.0,0.6792024267578126,True,REGULAR,USD,2025-01-17
IBIT250117C00057000,2024-11-22 20:59:21+00:00,57.0,5.69,5.6,5.8,-0.009999752,-0.17543426,1877.0,5696.0,0.673098972167969,False,REGULAR,USD,2025-01-17
IBIT250117C00058000,2024-11-22 20:57:39+00:00,58.0,5.31,5.2,5.4,0.009999752,0.18867455,247.0,842.0,0.6755403540039064,False,REGULAR,USD,2025-01-17
IBIT250117C00059000,2024-11-22 20:48:52+00:00,59.0,4.9,4.8,5.0,0.0,0.0,360.0,1938.0,0.6750520776367189,False,REGULAR,USD,2025-01-17
IBIT250117C00060000,2024-11-22 20:52:53+00:00,60.0,4.54,4.5,4.6,-0.119999886,-2.575105,5955.0,14379.0,0.6774934594726563,False,REGULAR,USD,2025-01-17
IBIT250117C00061000,2024-11-22 20:50:49+00:00,61.0,4.17,4.1,4.3,-0.13000011,-3.0232584,215.0,1057.0,0.6772493212890626,False,REGULAR,USD,2025-01-17
IBIT250117C00062000,2024-11-22 20:27:36+00:00,62.0,4.0,3.8,4.0,0.059999943,1.5228412,190.0,10242.0,0.6801789794921876,False,REGULAR,USD,2025-01-17
IBIT250117C00063000,2024-11-22 20:49:35+00:00,63.0,3.6,3.5,3.7,-0.10000014,-2.7027066,83.0,806.0,0.6806672558593752,False,REGULAR,USD,2025-01-17
IBIT250117C00064000,2024-11-22 20:34:21+00:00,64.0,3.36,3.3,3.5,-0.08000016,-2.325586,321.0,444.0,0.6906769213867189,False,REGULAR,USD,2025-01-17
IBIT250117C00065000,2024-11-22 20:55:51+00:00,65.0,3.15,3.1,3.2,-0.03999996,-1.2539172,648.0,2823.0,0.6926300268554688,False,REGULAR,USD,2025-01-17
IBIT250117C00066000,2024-11-22 17:34:18+00:00,66.0,2.95,2.85,3.0,0.049999952,1.7241362,29.0,114.0,0.6953155468750001,False,REGULAR,USD,2025-01-17
IBIT250117C00067000,2024-11-22 20:43:04+00:00,67.0,2.71,2.7,2.8,0.00999999,0.37037,155.0,5037.0,0.7026396923828125,False,REGULAR,USD,2025-01-17
IBIT250117C00068000,2024-11-22 20:08:18+00:00,68.0,2.55,2.45,2.6,0.06999993,2.822578,305.0,229.0,0.7014190014648438,False,REGULAR,USD,2025-01-17
IBIT250117C00069000,2024-11-22 20:44:43+00:00,69.0,2.3,2.3,2.45,0.0,0.0,425.0,194.0,0.7082548706054688,False,REGULAR,USD,2025-01-17
IBIT250117C00070000,2024-11-22 20:58:49+00:00,70.0,2.22,2.15,2.25,-0.029999971,-1.3333321,2080.0,7446.0,0.709963837890625,False,REGULAR,USD,2025-01-17
IBIT250117C00075000,2024-11-22 20:59:21+00:00,75.0,1.6,1.6,1.65,-0.03999996,-2.439022,872.0,1201.0,0.7392604199218749,False,REGULAR,USD,2025-01-17
IBIT250117C00080000,2024-11-22 20:59:21+00:00,80.0,1.2,1.2,1.3,-0.01999998,-1.6393427,2365.0,5480.0,0.7717307983398438,False,REGULAR,USD,2025-01-17
IBIT250117C00085000,2024-11-22 18:49:12+00:00,85.0,1.0,0.95,1.05,0.029999971,3.0927806,432.0,210.0,0.8061542822265625,False,REGULAR,USD,2025-01-17
IBIT250117C00090000,2024-11-22 20:10:08+00:00,90.0,0.8,0.75,0.85,0.04000002,5.2631607,598.0,1016.0,0.8339860351562498,False,REGULAR,USD,2025-01-17
IBIT250117C00095000,2024-11-22 20:16:19+00:00,95.0,0.65,0.65,0.75,0.0,0.0,26.0,189.0,0.87500125,False,REGULAR,USD,2025-01-17
IBIT250117C00100000,2024-11-22 20:58:42+00:00,100.0,0.58,0.55,0.65,0.029999971,5.4545403,3115.0,4724.0,0.9062509375,False,REGULAR,USD,2025-01-17
IBIT250221C00030000,2024-11-21 17:29:05+00:00,30.0,26.95,0.0,0.0,1.6500015,6.521745,,,1.0000000000000003e-05,True,REGULAR,USD,2025-02-21
IBIT250221C00036000,2024-11-19 15:28:56+00:00,36.0,17.7,21.8,22.2,0.0,0.0,15.0,15.0,0.8725598681640624,True,REGULAR,USD,2025-02-21
IBIT250221C00038000,2024-11-19 19:57:25+00:00,38.0,18.0,0.0,0.0,0.0,0.0,,,1.0000000000000003e-05,True,REGULAR,USD,2025-02-21
IBIT250221C00039000,2024-11-19 20:08:15+00:00,39.0,17.1,0.0,0.0,0.0,0.0,,,1.0000000000000003e-05,True,REGULAR,USD,2025-02-21
IBIT250221C00040000,2024-11-22 20:59:06+00:00,40.0,18.59,18.3,18.6,0.3899994,2.1428537,2953.0,257.0,0.7919942675781251,True,REGULAR,USD,2025-02-21
IBIT250221C00041000,2024-11-19 19:35:35+00:00,41.0,15.39,0.0,0.0,0.0,0.0,,,1.0000000000000003e-05,True,REGULAR,USD,2025-02-21
IBIT250221C00043000,2024-11-20 19:26:18+00:00,43.0,13.5,15.9,16.2,0.0,0.0,12.0,21.0,0.7597680273437502,True,REGULAR,USD,2025-02-21
IBIT250221C00044000,2024-11-21 14:44:01+00:00,44.0,14.74,0.0,0.0,1.2299995,9.104363,,,1.0000000000000003e-05,True,REGULAR,USD,2025-02-21
IBIT250221C00045000,2024-11-22 20:35:04+00:00,45.0,14.58,14.4,14.8,0.07999992,0.5517236,184.0,341.0,0.7490259472656251,True,REGULAR,USD,2025-02-21
IBIT250221C00046000,2024-11-22 14:50:37+00:00,46.0,13.3,13.7,14.0,-0.09999943,-0.7462644,4.0,14.0,0.7375514526367187,True,REGULAR,USD,2025-02-21
IBIT250221C00047000,2024-11-22 18:43:35+00:00,47.0,13.1,13.0,13.3,-0.009999275,-0.07627212,3.0,18.0,0.7302273071289063,True,REGULAR,USD,2025-02-21
IBIT250221C00048000,2024-11-22 17:37:41+00:00,48.0,12.6,12.4,12.7,1.5,13.513513,29.0,84.0,0.7319362744140624,True,REGULAR,USD,2025-02-21
IBIT250221C00049000,2024-11-22 15:30:03+00:00,49.0,11.86,11.7,12.0,0.35999966,3.130432,1.0,58.0,0.72070591796875,True,REGULAR,USD,2025-02-21
IBIT250221C00050000,2024-11-22 20:12:56+00:00,50.0,11.3,11.1,11.4,0.32999992,3.0082035,374.0,1936.0,0.7180203979492188,True,REGULAR,USD,2025-02-21
IBIT250221C00051000,2024-11-22 20:01:44+00:00,51.0,10.7,10.6,10.8,0.09999943,0.94339085,109.0,586.0,0.7182645361328125,True,REGULAR,USD,2025-02-21
IBIT250221C00052000,2024-11-22 20:28:39+00:00,52.0,10.16,10.0,10.3,0.15999985,1.5999984,975.0,922.0,0.7165555688476561,True,REGULAR,USD,2025-02-21
IBIT250221C00053000,2024-11-22 20:51:48+00:00,53.0,9.54,9.4,9.7,0.03999996,0.42105225,38.0,611.0,0.708010732421875,True,REGULAR,USD,2025-02-21
IBIT250221C00054000,2024-11-22 20:42:23+00:00,54.0,9.1,8.9,9.2,0.010000229,0.110013515,1755.0,5604.0,0.7071562487792968,True,REGULAR,USD,2025-02-21
IBIT250221C00055000,2024-11-22 20:57:34+00:00,55.0,8.53,8.6,8.8,-0.06000042,-0.69849145,3416.0,21286.0,0.7182645361328125,True,REGULAR,USD,2025-02-21
IBIT250221C00056000,2024-11-22 20:46:13+00:00,56.0,8.1,8.1,8.3,0.10000038,1.2500048,344.0,1113.0,0.7135038415527344,True,REGULAR,USD,2025-02-21
IBIT250221C00057000,2024-11-22 20:48:44+00:00,57.0,7.74,7.7,7.9,-0.06000042,-0.76923615,542.0,6213.0,0.7160672924804687,False,REGULAR,USD,2025-02-21
IBIT250221C00058000,2024-11-22 20:59:33+00:00,58.0,7.31,7.3,7.5,-0.24000025,-3.178811,2290.0,265.0,0.7170438452148438,False,REGULAR,USD,2025-02-21
IBIT250221C00059000,2024-11-22 19:41:02+00:00,59.0,7.05,6.9,7.1,0.05000019,0.7142884,130.0,786.0,0.7161893615722656,False,REGULAR,USD,2025-02-21
IBIT250221C00060000,2024-11-22 20:54:15+00:00,60.0,6.66,6.6,6.7,0.119999886,1.8348607,1606.0,7589.0,0.7182645361328125,False,REGULAR,USD,2025-02-21
IBIT250221C00061000,2024-11-22 20:57:27+00:00,61.0,6.26,6.2,6.4,0.0800004,1.294505,40.0,1464.0,0.7187528125,False,REGULAR,USD,2025-02-21
IBIT250221C00062000,2024-11-22 18:37:09+00:00,62.0,5.97,5.9,6.1,0.1699996,2.9310274,20.0,1139.0,0.7221707470703125,False,REGULAR,USD,2025-02-21
IBIT250221C00063000,2024-11-22 19:50:52+00:00,63.0,5.63,5.6,5.8,0.13000011,2.3636384,16.0,1158.0,0.7241238525390624,False,REGULAR,USD,2025-02-21
IBIT250221C00064000,2024-11-22 20:20:24+00:00,64.0,5.33,5.3,5.5,0.07999992,1.5238081,50.0,965.0,0.7248562670898437,False,REGULAR,USD,2025-02-21
IBIT250221C00065000,2024-11-22 20:58:10+00:00,65.0,5.17,5.1,5.2,0.01999998,0.38834912,1077.0,15630.0,0.7286404089355469,False,REGULAR,USD,2025-02-21
IBIT250221C00066000,2024-11-22 17:43:48+00:00,66.0,4.8,4.8,5.0,-0.2999997,-5.8823476,538.0,397.0,0.7312038598632812,False,REGULAR,USD,2025-02-21
IBIT250221C00067000,2024-11-21 20:58:07+00:00,67.0,4.5,0.0,0.0,0.70000005,18.421055,,,0.062509375,False,REGULAR,USD,2025-02-21
IBIT250221C00068000,2024-11-21 20:49:44+00:00,68.0,4.5,0.0,0.0,0.79999995,21.62162,,,0.062509375,False,REGULAR,USD,2025-02-21
IBIT250221C00069000,2024-11-22 20:00:27+00:00,69.0,4.21,4.2,4.3,0.07000017,1.6908255,15.0,623.0,0.7412135253906249,False,REGULAR,USD,2025-02-21
IBIT250221C00070000,2024-11-22 20:58:20+00:00,70.0,4.0,3.9,4.1,0.0,0.0,1502.0,6153.0,0.7390162817382812,False,REGULAR,USD,2025-02-21
IBIT250221C00075000,2024-11-22 19:58:54+00:00,75.0,3.23,3.1,3.3,-0.06999993,-2.12121,147.0,479.0,0.7575707836914063,False,REGULAR,USD,2025-02-21
IBIT250221C00080000,2024-11-22 19:56:26+00:00,80.0,2.52,2.5,2.65,-0.07999992,-3.0769203,143.0,1223.0,0.7736839038085939,False,REGULAR,USD,2025-02-21
IBIT250221C00085000,2024-11-22 20:52:50+00:00,85.0,2.1,2.05,2.2,-0.10000014,-4.545461,412.0,279.0,0.7932149584960937,False,REGULAR,USD,2025-02-21
IBIT250221C00090000,2024-11-22 20:54:23+00:00,90.0,1.75,1.7,1.8,0.01999998,1.1560682,68.0,54.0,0.8083515258789062,False,REGULAR,USD,2025-02-21
IBIT250221C00095000,2024-11-22 20:47:19+00:00,95.0,1.5,1.45,1.55,-0.049999952,-3.2258034,15.0,215.0,0.8300798242187499,False,REGULAR,USD,2025-02-21
IBIT250221C00100000,2024-11-22 20:57:53+00:00,100.0,1.3,1.25,1.3,0.0,0.0,2564.0,6365.0,0.8461929443359374,False,REGULAR,USD,2025-02-21
IBIT250516C00030000,2024-11-22 20:41:39+00:00,30.0,28.73,28.5,29.1,0.020000458,0.06966374,261.0,1541.0,0.9448247705078124,True,REGULAR,USD,2025-05-16
IBIT250516C00031000,2024-11-21 19:11:51+00:00,31.0,27.7,27.7,28.2,0.0,0.0,130.0,129.0,0.9282233740234375,True,REGULAR,USD,2025-05-16
IBIT250516C00032000,2024-11-21 19:10:20+00:00,32.0,27.2,26.8,27.4,0.0,0.0,40.0,40.0,0.911133701171875,True,REGULAR,USD,2025-05-16
IBIT250516C00033000,2024-11-20 20:33:58+00:00,33.0,26.3,26.0,26.7,1.6999989,6.910564,4.0,26.0,0.9062509375,True,REGULAR,USD,2025-05-16
IBIT250516C00034000,2024-11-22 17:50:10+00:00,34.0,26.6,25.3,25.8,5.300001,24.882635,1.0,5.0,0.8940440283203124,True,REGULAR,USD,2025-05-16
IBIT250516C00035000,2024-11-22 18:32:05+00:00,35.0,24.45,24.5,25.1,-0.37999916,-1.5304034,39.0,162.0,0.8867198828124999,True,REGULAR,USD,2025-05-16
IBIT250516C00036000,2024-11-22 17:34:19+00:00,36.0,24.0,23.7,24.3,0.39999962,1.6949136,339.0,50.0,0.8728040063476561,True,REGULAR,USD,2025-05-16
IBIT250516C00037000,2024-11-21 15:10:43+00:00,37.0,22.4,22.9,23.4,0.0,0.0,6.0,7.0,0.8527846752929689,True,REGULAR,USD,2025-05-16
IBIT250516C00039000,2024-11-20 19:27:38+00:00,39.0,19.7,0.0,0.0,0.0,0.0,,,1.0000000000000003e-05,True,REGULAR,USD,2025-05-16
IBIT250516C00040000,2024-11-22 20:48:52+00:00,40.0,21.0,20.8,21.1,0.0,0.0,59.0,584.0,0.825929475097656,True,REGULAR,USD,2025-05-16
IBIT250516C00041000,2024-11-22 19:43:26+00:00,41.0,20.35,20.0,20.7,1.75,9.408602,5.0,12.0,0.8273943041992187,True,REGULAR,USD,2025-05-16
IBIT250516C00043000,2024-11-22 17:24:30+00:00,43.0,19.17,18.7,19.3,2.67,16.18182,4.0,3.0,0.8129901513671874,True,REGULAR,USD,2025-05-16
IBIT250516C00044000,2024-11-22 18:48:11+00:00,44.0,18.4,18.1,18.6,0.69999886,3.9547958,4.0,5.0,0.8065204895019531,True,REGULAR,USD,2025-05-16
IBIT250516C00045000,2024-11-22 20:42:52+00:00,45.0,17.7,17.4,17.9,0.30000114,1.7241446,84.0,306.0,0.7950459948730468,True,REGULAR,USD,2025-05-16
IBIT250516C00046000,2024-11-20 20:56:44+00:00,46.0,15.5,0.0,0.0,0.0,0.0,,,1.0000000000000003e-05,True,REGULAR,USD,2025-05-16
IBIT250516C00047000,2024-11-22 17:24:30+00:00,47.0,16.72,16.3,16.8,0.01999855,0.119751796,7.0,76.0,0.7934590966796875,True,REGULAR,USD,2025-05-16
IBIT250516C00048000,2024-11-22 19:08:24+00:00,48.0,16.07,15.8,16.2,-0.22999954,-1.4110402,502.0,104.0,0.7907735766601562,True,REGULAR,USD,2025-05-16
IBIT250516C00049000,2024-11-22 14:44:37+00:00,49.0,15.55,15.2,15.7,-0.14999962,-0.9554116,5.0,286.0,0.7873556420898438,True,REGULAR,USD,2025-05-16
IBIT250516C00050000,2024-11-22 20:54:40+00:00,50.0,14.98,14.7,15.2,0.07999992,0.53691226,185.0,1288.0,0.7863790893554687,True,REGULAR,USD,2025-05-16
IBIT250516C00051000,2024-11-22 18:31:35+00:00,51.0,14.4,14.2,14.7,0.29999924,2.127654,3.0,223.0,0.7845480529785156,True,REGULAR,USD,2025-05-16
IBIT250516C00052000,2024-11-22 20:48:13+00:00,52.0,13.85,13.7,14.2,-0.14999962,-1.0714258,71.0,663.0,0.7817404638671875,True,REGULAR,USD,2025-05-16
